,Symbol,Abbr,Name
1,5183.KL,PetronasChemical,PETRONAS CHEMICALS GROUP BHD
2,5225.KL,IHH,IHH HEALTHCARE BERHAD
3,6012.KL,Maxis,MAXIS BERHAD
4,6888.KL,Axiata,AXIATA GROUP BERHAD
5,5285.KL,SimeDarbyPlantation,SIME DARBY PLANTATION BERHAD
6,5168.KL,Hartalega,HARTALEGA HOLDINGS BHD
7,5235SS.KL,KLCCProp&Reits-StapledSEC,KLCC PROP&REITS-STAPLED SEC
8,5284.KL,LOTTEChemical,LOTTE CHEMICAL TITAN HOLDING BE
9,5246.KL,Westports,WESTPORTS HOLDINGS BERHAD
10,5099.KL,AirasiaGroup,AIRASIA GROUP BERHAD
11,5249.KL,IOIProperties,IOI PROPERTIES GROUP BERHAD
12,5288.KL,SIME,SIME DARBY PROPERTY BERHAD
13,6399.KL,AstroMalaysia,ASTRO MALAYSIA HOLDINGS BERHAD
14,4588.KL,UMW,UMW HOLDINGS BHD
15,5211.KL,SUNWAY,SUNWAY BERHAD
16,0166.KL,Inari,INARI AMERTRON BERHAD
17,1818.KL,BursaMalaysia,BURSA MALAYSIA BHD
18,5227.KL,IGBReal,IGB REAL ESTATE INV TRUST
19,5222.KL,FGV,FGV HOLDINGS BERHAD
20,5176.KL,SunwayRealEstate,SUNWAY REAL ESTATE INVT TRUST
21,5212.KL,PavilionRealEstate,PAVILION REAL ESTATE INV TRUST
22,5279.KL,SerbaDinamik,SERBA DINAMIK HOLDINGS BERHAD
23,5200.KL,UOA,UOA DEVELOPMENT BERHAD
24,5264.KL,Malakoff,MALAKOFF CORPORATION BERHAD
25,5210.KL,BumiArmada,BUMI ARMADA BERHAD
26,5139.KL,AeonCredit,AEON CREDIT SERVICE (M) BHD
27,5209.KL,GasMalaysia,GAS MALAYSIA BERHAD
28,5218.KL,SapuraEnergy,SAPURA ENERGY BERHAD
29,5148.KL,UEMSunrise,UEM SUNRISE BERHAD
30,5254.KL,BousteadPlantation,BOUSTEAD PLANTATIONS BHD
31,0097.KL,VitroxCorporation,VITROX CORPORATION BHD
32,5202.KL,MSM,MSM MALAYSIA HOLDINGS BERHAD
