,Company,Current,PriceAfter1Year,1YearProfit
1,Hartalega,5.06,7.953785741,57.18944152
2,VitroxCorporation,6.93,9.682722116,39.72181986
3,AirasiaGroup,2.55,3.455664265,35.5162457
4,UMW,5.2,6.218237828,19.5814967
5,PetronasChemical,8.59,10.14904597,18.14954566
6,SerbaDinamik,3.96,4.520392078,14.1513151
7,IGBReal,1.9,2.130554375,12.13444079
8,AeonCredit,16.18,17.85010829,10.32205371
9,PavilionRealEstate,1.8,1.916399582,6.466643467
10,GasMalaysia,2.84,2.950095621,3.876606356
11,SunwayRealEstate,1.9,1.960779166,3.198903451
12,Axiata,4.54,4.557128833,0.377287075
13,Westports,3.7,3.650156591,-1.347119172
14,UOA,2.33,2.294489071,-1.524074218
15,IHH,5.27,5.141183203,-2.444341502
16,UEMSunrise,0.85,0.821393865,-3.365427698
17,KLCCProp&Reits-StapledSEC,7.8,7.491937147,-3.949523758
18,SUNWAY,1.68,1.539461698,-8.3653751
19,Malakoff,0.8,0.725354204,-9.330724482
20,Maxis,5.36,4.814309132,-10.18079978
21,SimeDarbyPlantation,4.71,3.909194451,-17.00224096
22,BursaMalaysia,6.1,4.829854246,-20.82206154
23,IOIProperties,1.2,0.8487516,-29.27069999
24,SIME,0.975,0.581695977,-40.33887417
25,FGV,1.15,0.582415438,-49.35517934
26,BousteadPlantation,0.735,0.245321621,-66.62290875
27,LOTTEChemical,3.07,0.628671886,-79.52208839
28,MSM,1.37,0.182916645,-86.64842007
29,AstroMalaysia,1.3,0.132725579,-89.79034007
30,Inari,1.44,-0.002318445,-100.1610031
31,BumiArmada,0.195,-0.070518757,-136.163465
32,SapuraEnergy,0.29,-0.16638434,-157.3739104
